지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%)
108,서울,2021-10-24 9:00,9.1,,1.7,71
108,서울,2021-10-24 10:00,11.7,,1.3,61
108,서울,2021-10-24 11:00,13.7,,1.5,55
108,서울,2021-10-24 12:00,15.8,,1.7,47
108,서울,2021-10-24 13:00,16.2,,3.1,43
108,서울,2021-10-24 14:00,16.7,,2.4,44
108,서울,2021-10-24 15:00,17.6,,1.5,38
108,서울,2021-10-24 16:00,17.5,,1.9,44
108,서울,2021-10-24 17:00,16.4,,1.9,49
108,서울,2021-10-24 18:00,14.2,,2.7,55
108,서울,2021-10-24 19:00,13,,1.4,61
108,서울,2021-10-24 20:00,11.8,,1.8,64
108,서울,2021-10-24 21:00,10.8,,1.8,65
108,서울,2021-10-24 22:00,10.3,,1.2,68
108,서울,2021-10-24 23:00,9.8,,0.2,72
108,서울,2021-10-25 0:00,9.4,,2,69
108,서울,2021-10-25 1:00,8.9,,0.6,71
108,서울,2021-10-25 2:00,8.4,,1.8,77
108,서울,2021-10-25 3:00,8,,0.8,79
108,서울,2021-10-25 4:00,7.6,,0.7,81
108,서울,2021-10-25 5:00,7,,1.2,84
108,서울,2021-10-25 6:00,6.7,,0.9,86
108,서울,2021-10-25 7:00,6.4,,0.7,88
108,서울,2021-10-25 8:00,6.7,,1.2,88
108,서울,2021-10-25 9:00,9.5,,1.1,76
108,서울,2021-10-25 10:00,12.2,,0.7,67
108,서울,2021-10-25 11:00,15.1,,1.3,57
108,서울,2021-10-25 12:00,16,,1.3,50
108,서울,2021-10-25 13:00,16.5,,3,49
108,서울,2021-10-25 14:00,17,,2.1,44
108,서울,2021-10-25 15:00,17.2,,2.9,42
108,서울,2021-10-25 16:00,17.3,,2.1,39
108,서울,2021-10-25 17:00,16.3,,1.8,41
108,서울,2021-10-25 18:00,14.3,,1.3,47
108,서울,2021-10-25 19:00,12.9,,1.7,54
108,서울,2021-10-25 20:00,11.8,,1.9,57
108,서울,2021-10-25 21:00,11.4,,1.5,63
108,서울,2021-10-25 22:00,11.1,,1.7,69
108,서울,2021-10-25 23:00,11,,0.6,70
108,서울,2021-10-26 0:00,10.4,,1.3,73
108,서울,2021-10-26 1:00,9.9,,1.5,76
108,서울,2021-10-26 2:00,9.2,,1.8,80
108,서울,2021-10-26 3:00,8.8,,1.4,82
108,서울,2021-10-26 4:00,8.5,,0.8,84
108,서울,2021-10-26 5:00,8.1,,1.7,86
108,서울,2021-10-26 6:00,7.9,,1.7,87
108,서울,2021-10-26 7:00,7.7,,1.6,89
108,서울,2021-10-26 8:00,7.9,,1.5,90
108,서울,2021-10-26 9:00,9.9,,2.2,86
108,서울,2021-10-26 10:00,12.3,,2,75
108,서울,2021-10-26 11:00,14.7,,1.7,67
108,서울,2021-10-26 12:00,17.1,,1.9,56
108,서울,2021-10-26 13:00,17.6,,2,54
108,서울,2021-10-26 14:00,18,,2,53
108,서울,2021-10-26 15:00,18.7,,2.3,50
108,서울,2021-10-26 16:00,18,,2.6,55
108,서울,2021-10-26 17:00,17,,2,60
108,서울,2021-10-26 18:00,15.6,,2.1,70
108,서울,2021-10-26 19:00,14.9,,2.3,75
108,서울,2021-10-26 20:00,14.3,,2.1,76
108,서울,2021-10-26 21:00,13.6,,1.2,79
108,서울,2021-10-26 22:00,13,,0.7,82
108,서울,2021-10-26 23:00,12.5,,1.1,85
108,서울,2021-10-27 0:00,12.4,,0.6,86
108,서울,2021-10-27 1:00,12.2,,0.2,86
108,서울,2021-10-27 2:00,12,,0.1,88
108,서울,2021-10-27 3:00,11.9,,0.7,88
108,서울,2021-10-27 4:00,11.9,0,0.9,88
108,서울,2021-10-27 5:00,11.8,0,1.6,89
108,서울,2021-10-27 6:00,12.4,,1.8,91
108,서울,2021-10-27 7:00,12.6,,1.9,91
108,서울,2021-10-27 8:00,12.2,,2.8,92
108,서울,2021-10-27 9:00,12.4,,2.3,87
108,서울,2021-10-27 10:00,13.4,,3.2,78
108,서울,2021-10-27 11:00,14.6,,3.4,69
108,서울,2021-10-27 12:00,15.5,,3.5,57
108,서울,2021-10-27 13:00,16.3,,3.2,46
108,서울,2021-10-27 14:00,17.3,,3.4,37
108,서울,2021-10-27 15:00,17.8,,2.9,37
108,서울,2021-10-27 16:00,18,,1.9,34
108,서울,2021-10-27 17:00,16.6,,3.8,34
108,서울,2021-10-27 18:00,14.8,,2.1,39
108,서울,2021-10-27 19:00,13.8,,2.1,46
108,서울,2021-10-27 20:00,13.2,,1.7,48
108,서울,2021-10-27 21:00,12.6,,2.1,49
108,서울,2021-10-27 22:00,11.3,,1.3,53
108,서울,2021-10-27 23:00,10.3,,1.7,57
108,서울,2021-10-28 0:00,9.9,,3.1,59
108,서울,2021-10-28 1:00,9.7,,1.5,58
108,서울,2021-10-28 2:00,8.9,,1.5,62
108,서울,2021-10-28 3:00,8.2,,0.5,65
108,서울,2021-10-28 4:00,7.8,,0.4,65
108,서울,2021-10-28 5:00,7.5,,0.9,70
108,서울,2021-10-28 6:00,7.4,,0.9,69
108,서울,2021-10-28 7:00,7.2,,1.1,74
108,서울,2021-10-28 8:00,7.5,,0.4,71
108,서울,2021-10-28 9:00,10.2,,0.6,68
108,서울,2021-10-28 10:00,13.1,,1.1,58
108,서울,2021-10-28 11:00,15,,1.4,49
108,서울,2021-10-28 12:00,16.3,,1.9,43
108,서울,2021-10-28 13:00,17.8,,1.9,36
108,서울,2021-10-28 14:00,18.9,,1.5,32
108,서울,2021-10-28 15:00,19.1,,1.1,32
108,서울,2021-10-28 16:00,19.4,,1.8,32
108,서울,2021-10-28 17:00,18.3,,1.9,37
108,서울,2021-10-28 18:00,15.9,,1.3,45
108,서울,2021-10-28 19:00,14.6,,1,52
108,서울,2021-10-28 20:00,13.5,,0.3,56
108,서울,2021-10-28 21:00,12.5,,1.5,55
108,서울,2021-10-28 22:00,11.9,,1.9,57
108,서울,2021-10-28 23:00,12,,2.7,59
108,서울,2021-10-29 0:00,11.8,,2.5,60
108,서울,2021-10-29 1:00,11.8,,2.5,59
108,서울,2021-10-29 2:00,11.6,,2.6,60
108,서울,2021-10-29 3:00,11.1,,2.3,61
108,서울,2021-10-29 4:00,10.8,,2.6,63
108,서울,2021-10-29 5:00,10.6,,2.2,63
108,서울,2021-10-29 6:00,10.6,,2.9,64
108,서울,2021-10-29 7:00,10.7,,2.5,62
108,서울,2021-10-29 8:00,11.2,,2.6,62
108,서울,2021-10-29 9:00,13.2,,2.8,57
108,서울,2021-10-29 10:00,14.9,,2.3,53
108,서울,2021-10-29 11:00,16.5,,3.4,48
108,서울,2021-10-29 12:00,18.2,,2.4,47
108,서울,2021-10-29 13:00,18.9,,2.2,43
108,서울,2021-10-29 14:00,20,,1.8,40
108,서울,2021-10-29 15:00,20.5,,1.8,39
108,서울,2021-10-29 16:00,20.3,,1.5,37
108,서울,2021-10-29 17:00,18.6,,1.1,41
108,서울,2021-10-29 18:00,16.8,,0.8,52
108,서울,2021-10-29 19:00,15.5,,0.2,55
108,서울,2021-10-29 20:00,14.6,,0.4,60
108,서울,2021-10-29 21:00,13.9,,1.4,60
108,서울,2021-10-29 22:00,13.3,,1.4,63
108,서울,2021-10-29 23:00,12.6,,1.7,66
108,서울,2021-10-30 0:00,12.4,,1.7,67
108,서울,2021-10-30 1:00,12,,1.5,67
108,서울,2021-10-30 2:00,11.6,,1.5,67
108,서울,2021-10-30 3:00,11.5,,1.8,68
108,서울,2021-10-30 4:00,11.5,,2.4,68
108,서울,2021-10-30 5:00,11.2,,2.5,68
108,서울,2021-10-30 6:00,11.1,,2.5,68
108,서울,2021-10-30 7:00,11.1,,3,68
108,서울,2021-10-30 8:00,11.6,,1.7,66
108,서울,2021-10-30 9:00,12.5,,1.8,64
108,서울,2021-10-30 10:00,13.6,,1.4,62
108,서울,2021-10-30 11:00,14.7,,1.7,59
108,서울,2021-10-30 12:00,16.2,,2.2,54
108,서울,2021-10-30 13:00,16.4,,1.2,54
108,서울,2021-10-30 14:00,16.7,,0.8,53
108,서울,2021-10-30 15:00,17.6,,1.3,51
108,서울,2021-10-30 16:00,17.6,,1.1,51
108,서울,2021-10-30 17:00,17.4,,1.5,49
108,서울,2021-10-30 18:00,16.2,,0.5,54
108,서울,2021-10-30 19:00,15.3,,1.6,59
108,서울,2021-10-30 20:00,14.3,,1.3,63
108,서울,2021-10-30 21:00,13.5,,0.9,66
108,서울,2021-10-30 22:00,13,,1.7,70
108,서울,2021-10-30 23:00,12.5,,1.3,70
108,서울,2021-10-31 0:00,11.8,,1.7,74
108,서울,2021-10-31 1:00,11.3,,1.2,77
108,서울,2021-10-31 2:00,11,,1.5,80
108,서울,2021-10-31 3:00,10.6,,1.6,81
108,서울,2021-10-31 4:00,10.1,,1.5,84
108,서울,2021-10-31 5:00,9.9,,1.2,85
108,서울,2021-10-31 6:00,9.6,,1.6,86
108,서울,2021-10-31 7:00,9.2,,1.5,87
108,서울,2021-10-31 8:00,9.9,,2.2,88
108,서울,2021-10-31 9:00,11.8,,1.5,83
108,서울,2021-10-31 10:00,14,,1.2,77
108,서울,2021-10-31 11:00,16.1,,1.1,70
108,서울,2021-10-31 12:00,18,,1.4,58
108,서울,2021-10-31 13:00,18.8,,1.6,53
108,서울,2021-10-31 14:00,19.9,,1.9,50
108,서울,2021-10-31 15:00,19.8,,1,51
108,서울,2021-10-31 16:00,19.5,,2.3,48
108,서울,2021-10-31 17:00,17.6,,2.5,52
108,서울,2021-10-31 18:00,16.4,,2.5,60
108,서울,2021-10-31 19:00,15.7,,1,66
108,서울,2021-10-31 20:00,15.3,,1.3,70
108,서울,2021-10-31 21:00,14.3,0.7,0.3,77
108,서울,2021-10-31 22:00,13.5,,0.6,84
108,서울,2021-10-31 23:00,12.9,,1.7,87
108,서울,2021-11-01 0:00,12.9,,1.7,87
